Property Name,Visits,Values Accumulated,Trial Number,Position Number
Go,2347,2347,99968,0
Old_kent,2245,44900,99985,1
First_community_chest,2181,2181,99943,2
White_chapel,2361,94440,99908,3
Income_Tax,2362,4724000,99973,4
King_cross_station,2339,584750,99931,5
The_angel_islington,2314,138840,99974,6
First_chance,2251,2251,99998,7
Euston,2297,137820,99953,8
Pentoville,2339,187120,99992,9
Just_visiting,2298,2298,99969,10
Pall_mall,2295,229500,99986,11
Electric_company,2577,206160,99981,12
White_hall,2514,251400,99964,13
Northhumber,2592,311040,99993,14
Maryleborne_station,2623,655750,99987,15
Bow_street,2589,362460,99940,16
Second_community_chest,2671,2671,99994,17
Marlborough_street,2664,372960,99927,18
Vine_street,2716,434560,99999,19
Free_parking,2780,2780,99995,20
Strand,2745,494100,100000,21
Second_chance,2797,2797,99982,22
Fleet_street,2665,479700,99955,23
Transfalgar_square,2605,521000,99962,24
Fenchchurch_station,2624,656000,99934,25
leicester_square,2692,592240,99989,26
Conventry_street,2596,571120,99983,27
Water_works,2740,219200,99976,28
Picadilly,2675,642000,99984,29
Go_to_jail,2737,2737,99980,30
Regent_street,2703,702780,99951,31
Oxford_street,2425,630500,99996,32
Third_community_chest,2479,2479,99942,33
Bond_street,2437,682360,99958,34
Liverpool_station,2381,595250,99923,35
Third_chance,2454,2454,99967,36
Parklane,2384,834400,99990,37
Supertax,2251,2251000,99977,38
Mayfair,2256,1128000,99997,39
