Property Name,Visits,Values Accumulated,Trial Number,Position Number
First_chance,1,1,0,7
Electric_company,1,80,1,12
Vine_street,1,160,2,19
Second_chance,1,1,3,22
leicester_square,1,220,4,26
Water_works,1,80,5,28
Go,1,1,6,0
Just_visiting,1,1,7,10
Marlborough_street,1,140,8,18
Go_to_jail,1,1,9,30
Second_chance,2,2,10,22
Third_community_chest,1,1,11,33
White_chapel,1,40,12,3
White_hall,1,100,13,13
Marlborough_street,2,280,14,18
Fleet_street,1,180,15,23
Oxford_street,1,260,16,32
Supertax,1,1000,17,38
King_cross_station,1,250,18,5
Northhumber,1,120,19,14
Second_chance,3,3,20,22
Conventry_street,1,220,21,27
Supertax,2,2000,22,38
First_community_chest,1,1,23,2
The_angel_islington,1,60,24,6
Electric_company,2,160,25,12
Marlborough_street,3,420,26,18
Fleet_street,2,360,27,23
leicester_square,2,440,28,26
Third_chance,1,1,29,36
The_angel_islington,2,120,30,6
Bow_street,1,140,31,16
Strand,1,180,32,21
Oxford_street,2,520,33,32
Liverpool_station,1,250,34,35
Mayfair,1,500,35,39
First_chance,2,2,36,7
Marlborough_street,4,560,37,18
Fleet_street,3,540,38,23
leicester_square,3,660,39,26
Bond_street,1,280,40,34
Supertax,3,3000,41,38
The_angel_islington,3,180,42,6
Just_visiting,2,2,43,10
Second_chance,4,4,44,22
Oxford_street,3,780,45,32
Mayfair,2,1000,46,39
The_angel_islington,4,240,47,6
Second_community_chest,1,1,48,17
leicester_square,4,880,49,26
Oxford_street,4,1040,50,32
Bond_street,2,560,51,34
Old_kent,1,20,52,1
Pentoville,1,80,53,9
Pall_mall,1,100,54,11
Second_community_chest,2,2,55,17
Water_works,2,160,56,28
Oxford_street,5,1300,57,32
Bond_street,3,840,58,34
Go,2,2,59,0
First_chance,3,3,60,7
Bow_street,2,280,61,16
Fenchchurch_station,1,250,62,25
Liverpool_station,2,500,63,35
First_community_chest,2,2,64,2
Income_Tax,1,2000,65,4
The_angel_islington,5,300,66,6
Pentoville,2,160,67,9
Maryleborne_station,1,250,68,15
Second_community_chest,3,3,69,17
Conventry_street,2,440,70,27
Oxford_street,6,1560,71,32
First_community_chest,3,3,72,2
The_angel_islington,6,360,73,6
Electric_company,3,240,74,12
Second_community_chest,4,4,75,17
Fleet_street,4,720,76,23
Bond_street,4,1120,77,34
Third_chance,2,2,78,36
